ko	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24
K00330	39.0	36.0	5.0	7.0	42.0	14.0	46.0	4.0	7.0	36.0	8.0	22.0	6.0	12.0	16.0	23.0	1.0	10.0	11.0	14.0	12.0	11.0	8.0	12.0	17.0
K00340	37.0	81.0	23.0	10.0	51.0	33.0	73.0	10.0	18.0	48.0	32.0	17.0	12.0	23.0	27.0	53.0	2.0	15.0	32.0	30.0	28.0	30.0	22.0	35.0	29.0
K00345	15.0	13.0	59.0	23.0	7.0	55.0		14.0	7.0	9.0	31.0	70.0	37.0	71.0	50.0	87.0	4.0	14.0	51.0	70.0	95.0	84.0	37.0	17.0	21.0
K00348	8.0	7.0	17.0	47.0	17.0	6.0		37.0	54.0	21.0	42.0	10.0	56.0	3.0	18.0	23.0	55.0	37.0	37.0	12.0	2.0	8.0	20.0	19.0	50.0
K00363	40.0	44.0		3.0	34.0	9.0	54.0	4.0	10.0	31.0	11.0	7.0	8.0	1.0	5.0	3.0	2.0	10.0	5.0	2.0		1.0	5.0	16.0	9.0
K00406	6.0	2.0	2.0	14.0	6.0	3.0		13.0	10.0	8.0	15.0	1.0	17.0	3.0	3.0	8.0	12.0	17.0	18.0	4.0	1.0	3.0	8.0	5.0	14.0
K00407	79.0	70.0	80.0	167.0	84.0	68.0	31.0	220.0	211.0	85.0	178.0	52.0	208.0	38.0	97.0	115.0	232.0	211.0	148.0	74.0	3.0	26.0	113.0	137.0	199.0
K00411	43.0	56.0	9.0	29.0	51.0	22.0	47.0	35.0	37.0	50.0	32.0	13.0	29.0	3.0	26.0	18.0	46.0	41.0	25.0	17.0	1.0	5.0	15.0	48.0	31.0
K00413	16.0	14.0	1.0	5.0	19.0	4.0	23.0	1.0	12.0	14.0	15.0	2.0	8.0	1.0	5.0	4.0	4.0	9.0	4.0	2.0		1.0	6.0	9.0	9.0
K00424	41.0	23.0	27.0	102.0	18.0	29.0	3.0	163.0	116.0	41.0	91.0	32.0	97.0	27.0	64.0	61.0	164.0	115.0	82.0	58.0	8.0	27.0	57.0	89.0	101.0
K00425	223.0	164.0	261.0	611.0	281.0	206.0	4.0	793.0	825.0	287.0	700.0	176.0	711.0	139.0	371.0	367.0	833.0	635.0	577.0	241.0	22.0	99.0	354.0	487.0	693.0
K00426	356.0	246.0	395.0	931.0	323.0	270.0	4.0	1125.0	1176.0	378.0	1074.0	268.0	1065.0	193.0	555.0	573.0	1267.0	1007.0	919.0	371.0	43.0	185.0	530.0	693.0	1047.0
K00432	202.0	188.0	195.0	534.0	185.0	231.0	6.0	584.0	679.0	253.0	772.0	132.0	727.0	106.0	270.0	817.0	599.0	601.0	842.0	316.0	81.0	104.0	327.0	395.0	767.0
K00451	343.0	322.0	180.0	648.0	355.0	175.0		37.0	954.0	412.0	1155.0	97.0	1129.0	228.0	56.0	684.0	456.0	772.0	1053.0	298.0	1.0	97.0	362.0	129.0	1206.0
K00453	87.0	62.0	52.0	146.0	91.0	45.0	4.0	15.0	237.0	85.0	290.0	23.0	257.0	69.0	10.0	152.0	105.0	166.0	225.0	72.0		19.0	108.0	33.0	291.0
K00507	66.0	53.0	93.0	118.0	55.0	91.0	1.0	24.0	144.0	65.0	227.0	60.0	195.0	84.0	44.0	191.0	64.0	117.0	234.0	112.0	85.0	90.0	94.0	37.0	182.0
K00518	1.0		2.0			4.0				2.0		4.0	1.0	6.0	3.0					1.0	6.0	2.0	3.0	1.0	
K00537	6.0	5.0	2.0	13.0	7.0	8.0	1.0	2.0	11.0	12.0	11.0	1.0	17.0	4.0	1.0	12.0	8.0	7.0	13.0				7.0	3.0	12.0
K00549	3755.0	4488.0	1414.0	1047.0	4429.0	2043.0	5489.0	785.0	1334.0	3854.0	986.0	1851.0	806.0	1634.0	1677.0	494.0	831.0	1780.0	782.0	1350.0	1604.0	1594.0	1913.0	2455.0	1320.0
K00554	87.0	99.0	45.0	63.0	100.0	67.0	97.0	62.0	94.0	83.0	97.0	52.0	89.0	45.0	59.0	109.0	58.0	92.0	101.0	63.0	39.0	41.0	59.0	80.0	98.0
K00560	711.0	834.0	59.0	257.0	877.0	229.0	983.0	29.0	515.0	713.0	490.0	137.0	381.0	86.0	120.0	266.0	176.0	500.0	389.0	111.0	2.0	23.0	245.0	398.0	568.0
K00569	8.0	8.0			7.0	4.0	20.0		4.0	11.0	1.0	3.0			1.0	1.0		3.0	1.0	1.0			5.0	4.0	7.0
K00573	91.0	119.0	8.0	14.0	112.0	28.0	157.0	16.0	41.0	101.0	27.0	23.0	13.0	5.0	23.0	24.0	16.0	46.0	18.0	8.0	1.0	3.0	38.0	64.0	28.0
K00574	2.0		3.0	2.0		1.0		4.0	5.0	1.0	4.0		1.0	2.0	1.0	1.0	3.0	8.0	3.0					1.0	
K00600	1156.0	1219.0	731.0	1296.0	1211.0	846.0	1118.0	1982.0	1501.0	1144.0	1377.0	688.0	1348.0	446.0	1103.0	1439.0	1853.0	1472.0	1395.0	883.0	483.0	553.0	1049.0	1547.0	1295.0
K00602	57.0	50.0	14.0	12.0	61.0	25.0	45.0	21.0	33.0	56.0	31.0	11.0	18.0	15.0	20.0	31.0	13.0	31.0	20.0	18.0	12.0	13.0	22.0	32.0	35.0
K00606	186.0	198.0	136.0	132.0	195.0	145.0	207.0	140.0	158.0	178.0	162.0	129.0	149.0	128.0	147.0	179.0	161.0	179.0	164.0	139.0	116.0	122.0	156.0	152.0	151.0
K00640	309.0	370.0	156.0	218.0	373.0	216.0	407.0	160.0	223.0	313.0	265.0	184.0	240.0	167.0	180.0	322.0	184.0	257.0	289.0	185.0	175.0	179.0	218.0	236.0	298.0
K00641	252.0	310.0	9.0	49.0	326.0	64.0	368.0	7.0	115.0	251.0	91.0	37.0	45.0	20.0	41.0	50.0	29.0	137.0	70.0	20.0		3.0	65.0	163.0	91.0
K00657	15.0	9.0	23.0	28.0	15.0	22.0	1.0	1.0	25.0	20.0	32.0	30.0	46.0	35.0	12.0	34.0	24.0	28.0	28.0	28.0	16.0	23.0	30.0	3.0	42.0
K00661	9.0	7.0	5.0	17.0	9.0	3.0		1.0	24.0	11.0	36.0	4.0	32.0	5.0	1.0	23.0	15.0	17.0	15.0	5.0		3.0	15.0	6.0	22.0
K00674	1.0																						1.0		
K00684	34.0	35.0			39.0	4.0	60.0		5.0	26.0	5.0	4.0	1.0		7.0	4.0		9.0	2.0	1.0			7.0	10.0	7.0
K00688	1603.0	1707.0	1101.0	829.0	1703.0	1380.0	1881.0	235.0	914.0	1660.0	1350.0	1142.0	1153.0	1260.0	915.0	1766.0	349.0	1064.0	1392.0	1235.0	1294.0	1194.0	1127.0	922.0	1243.0
K00705	10.0	9.0	6.0	10.0	9.0	4.0		1.0	23.0	6.0	21.0	3.0	22.0	5.0	1.0	19.0	7.0	17.0	14.0	6.0	1.0		6.0	5.0	13.0
K00759	62.0	47.0	65.0	71.0	50.0	62.0	31.0	79.0	69.0	54.0	50.0	58.0	82.0	53.0	58.0	32.0	60.0	51.0	58.0	67.0	55.0	55.0	60.0	42.0	64.0
K00760	1.0		6.0	10.0	2.0	5.0		27.0	6.0	2.0	1.0	5.0	3.0		13.0		21.0	7.0	1.0	6.0		2.0	4.0	12.0	1.0
K00762	13.0	22.0	4.0	9.0	28.0	10.0	13.0	16.0	21.0	22.0	13.0	6.0	10.0	3.0	8.0	9.0	12.0	16.0	10.0	2.0		3.0	10.0	14.0	18.0
K00765	80.0	82.0	6.0	24.0	98.0	41.0	94.0	27.0	59.0	84.0	58.0	19.0	45.0	14.0	38.0	76.0	24.0	50.0	52.0	37.0	12.0	18.0	36.0	49.0	63.0
K00766	208.0	291.0	69.0	129.0	248.0	130.0	279.0	133.0	147.0	222.0	190.0	69.0	129.0	72.0	111.0	224.0	98.0	178.0	169.0	108.0	60.0	71.0	115.0	173.0	157.0
K00783	634.0	774.0	101.0	297.0	787.0	313.0	990.0	408.0	460.0	669.0	578.0	120.0	393.0	54.0	268.0	785.0	353.0	532.0	546.0	209.0	83.0	74.0	299.0	588.0	496.0
K00784	2.0	5.0	7.0	7.0	1.0	10.0	1.0	4.0	2.0	1.0	14.0	14.0	10.0	8.0	9.0	32.0	1.0	9.0	20.0	11.0	14.0	18.0	12.0	1.0	3.0
K00789	3206.0	3866.0	1279.0	1901.0	3565.0	2128.0	4131.0	1987.0	2447.0	3341.0	2766.0	1358.0	2186.0	1131.0	1784.0	3499.0	1983.0	2727.0	2768.0	1794.0	1231.0	1240.0	2034.0	2787.0	2780.0
K00793	1209.0	1423.0	367.0	563.0	1380.0	576.0	1620.0	519.0	806.0	1181.0	869.0	423.0	693.0	310.0	510.0	861.0	565.0	891.0	812.0	442.0	296.0	312.0	614.0	862.0	915.0
K00794	1034.0	1269.0	551.0	651.0	1201.0	774.0	1368.0	757.0	860.0	1133.0	892.0	508.0	699.0	509.0	631.0	1241.0	706.0	921.0	912.0	636.0	514.0	514.0	638.0	1015.0	914.0
K00797	95.0	139.0	46.0	21.0	132.0	70.0	155.0	1.0	20.0	105.0	15.0	54.0	6.0	64.0	47.0	4.0	6.0	33.0	8.0	30.0	45.0	60.0	39.0	65.0	26.0
K00798	91.0	95.0	64.0	178.0	117.0	58.0		4.0	219.0	127.0	329.0	22.0	304.0	74.0	11.0	209.0	125.0	226.0	270.0	73.0		31.0	97.0	40.0	373.0
K00799	29.0	35.0	36.0	52.0	38.0	37.0	32.0	61.0	65.0	31.0	35.0	35.0	42.0	32.0	47.0	14.0	78.0	49.0	39.0	41.0	31.0	29.0	59.0	65.0	39.0
K00831	12.0	19.0	2.0	12.0	14.0	9.0	23.0	9.0	13.0	9.0	9.0	3.0	9.0	1.0	10.0	4.0	13.0	15.0	4.0	4.0	1.0	1.0	6.0	14.0	12.0
K00851	37.0	15.0	66.0	59.0	21.0	44.0	2.0	9.0	52.0	23.0	51.0	81.0	63.0	85.0	48.0	29.0	45.0	22.0	53.0	73.0	68.0	74.0	42.0	19.0	57.0
K00857	6.0	8.0	14.0	19.0	13.0	5.0		33.0	32.0	12.0	33.0	12.0	28.0	5.0	16.0	18.0	33.0	23.0	29.0	17.0	2.0	6.0	13.0	19.0	36.0
K00858	975.0	1109.0	558.0	610.0	1056.0	768.0	1080.0	654.0	756.0	919.0	1133.0	608.0	826.0	540.0	587.0	1745.0	549.0	783.0	1229.0	798.0	689.0	543.0	683.0	789.0	943.0
K00859	488.0	554.0	191.0	300.0	576.0	287.0	629.0	301.0	362.0	525.0	413.0	225.0	320.0	185.0	279.0	393.0	275.0	379.0	369.0	245.0	178.0	206.0	328.0	408.0	372.0
K00865	319.0	405.0	1.0	10.0	399.0	85.0	519.0	11.0	74.0	329.0	48.0	37.0		2.0	63.0	22.0	1.0	125.0	12.0	12.0	1.0	2.0	74.0	198.0	77.0
K00873	990.0	1109.0	567.0	704.0	974.0	816.0	1068.0	662.0	698.0	953.0	1094.0	590.0	900.0	585.0	598.0	1848.0	605.0	822.0	1216.0	791.0	692.0	602.0	715.0	818.0	981.0
K00912	23.0	30.0	6.0	9.0	30.0	13.0	23.0	14.0	21.0	26.0	19.0	4.0	13.0	2.0	8.0	5.0	14.0	22.0	7.0	8.0	1.0	2.0	9.0	25.0	15.0
K00919	10.0	10.0	8.0	30.0	6.0	8.0		22.0	20.0	7.0	44.0	12.0	32.0	4.0	8.0	63.0	16.0	23.0	54.0	23.0	15.0	9.0	12.0	18.0	34.0
K00925	3.0	3.0	5.0	15.0	1.0	4.0		42.0	14.0	3.0	9.0	5.0	15.0	2.0	18.0	5.0	29.0	23.0	15.0	13.0		3.0	9.0	36.0	9.0
K00927	262.0	323.0	160.0	209.0	269.0	233.0	310.0	197.0	219.0	286.0	328.0	179.0	218.0	167.0	195.0	483.0	155.0	266.0	388.0	253.0	222.0	195.0	205.0	238.0	273.0
K00943	16.0	10.0	26.0	9.0	10.0	14.0	15.0	2.0	3.0	10.0	5.0	26.0	5.0	24.0	14.0	6.0	2.0	2.0	3.0	18.0	28.0	26.0	8.0	7.0	5.0
K00945	202.0	227.0	108.0	142.0	187.0	118.0	223.0	158.0	189.0	228.0	226.0	132.0	172.0	95.0	104.0	284.0	145.0	208.0	230.0	124.0	88.0	85.0	146.0	186.0	209.0
K00948	1064.0	1296.0	498.0	723.0	1166.0	813.0	1340.0	677.0	829.0	1006.0	1090.0	538.0	862.0	503.0	722.0	1471.0	701.0	944.0	1114.0	743.0	587.0	589.0	777.0	919.0	954.0
K00950	647.0	725.0	385.0	521.0	743.0	473.0	752.0	504.0	605.0	658.0	607.0	392.0	525.0	361.0	460.0	541.0	527.0	633.0	569.0	414.0	342.0	318.0	522.0	602.0	579.0
K00954	397.0	531.0	146.0	241.0	456.0	237.0	534.0	216.0	339.0	486.0	335.0	184.0	299.0	163.0	193.0	346.0	271.0	373.0	383.0	181.0	146.0	131.0	260.0	340.0	383.0
K00969	1.0				1.0		2.0		1.0	2.0								1.0						1.0	1.0
K00971	28.0	34.0	4.0	21.0	40.0	14.0	37.0	16.0	38.0	38.0	33.0	6.0	29.0	6.0	9.0	26.0	24.0	33.0	30.0	13.0	1.0		12.0	17.0	35.0
K00981	561.0	636.0	229.0	317.0	557.0	385.0	700.0	380.0	363.0	536.0	489.0	256.0	346.0	222.0	338.0	650.0	369.0	439.0	468.0	335.0	270.0	262.0	370.0	511.0	399.0
K00982	1.0	2.0			3.0	1.0	5.0	1.0	2.0	3.0	2.0	1.0						1.0						1.0	
K00986	32.0	6.0	103.0	39.0	3.0	105.0	1.0	8.0	5.0	22.0	17.0	105.0	37.0	114.0	67.0	32.0	10.0	4.0	22.0	83.0	128.0	129.0	70.0	14.0	17.0
K00988	1.0		12.0	7.0	1.0	8.0			1.0	1.0	1.0	9.0	3.0	11.0	5.0	2.0	1.0	1.0		6.0	8.0	15.0	5.0	1.0	1.0
K01005	216.0	15.0	814.0	300.0	39.0	662.0	27.0	13.0	16.0	150.0	52.0	852.0	193.0	1046.0	534.0	12.0	56.0	31.0	69.0	683.0	1076.0	968.0	492.0	69.0	76.0
K01008	1.0	1.0					1.0	1.0	1.0								1.0	1.0		1.0			1.0	1.0	
K01046	3.0	2.0	1.0	8.0	3.0	3.0			14.0	3.0	10.0		15.0	3.0	2.0	5.0	13.0	7.0	8.0	4.0		3.0	5.0	5.0	17.0
K01051	6.0	3.0	2.0	7.0	2.0	1.0		1.0	13.0	4.0	24.0		13.0	3.0	1.0	7.0	6.0	8.0	8.0	3.0		2.0	4.0	2.0	18.0
K01056	972.0	1189.0	481.0	607.0	1194.0	692.0	1354.0	697.0	712.0	986.0	810.0	489.0	676.0	437.0	642.0	1201.0	631.0	795.0	867.0	627.0	522.0	424.0	669.0	928.0	797.0
K01058	66.0	65.0	8.0	10.0	74.0	17.0	76.0	9.0	23.0	48.0	17.0	9.0	11.0	2.0	13.0	6.0	5.0	19.0	10.0	5.0		3.0	15.0	36.0	13.0
K01070	1.0		1.0			3.0		2.0		2.0		2.0	1.0	1.0	1.0					1.0	1.0	1.0	2.0		
K01077	28.0	9.0	79.0	194.0	21.0	74.0	1.0	472.0	181.0	25.0	50.0	66.0	95.0	9.0	203.0	21.0	409.0	171.0	70.0	89.0	13.0	51.0	107.0	281.0	42.0
K01079	8.0	8.0	2.0	6.0	15.0	3.0	5.0	7.0	17.0	12.0	12.0	1.0	8.0	1.0	8.0	3.0	5.0	14.0	5.0	3.0		3.0	6.0	7.0	9.0
K01083	1.0	1.0	1.0	2.0	4.0	3.0		1.0	3.0	2.0	4.0		7.0	2.0	1.0	1.0	5.0	4.0	7.0				2.0	1.0	6.0
K01095	255.0	333.0	51.0	160.0	294.0	97.0	357.0	186.0	210.0	289.0	184.0	78.0	155.0	37.0	125.0	97.0	197.0	225.0	139.0	76.0	7.0	29.0	136.0	230.0	226.0
K01118	116.0	148.0	26.0	72.0	131.0	49.0	210.0	118.0	109.0	166.0	63.0	30.0	63.0	13.0	59.0	40.0	102.0	105.0	50.0	19.0	3.0	11.0	46.0	126.0	91.0
K01129	74.0	76.0	13.0	38.0	102.0	28.0	72.0	49.0	57.0	55.0	43.0	21.0	45.0	4.0	32.0	30.0	50.0	70.0	38.0	24.0	2.0	5.0	35.0	60.0	50.0
K01154	7.0	2.0	40.0	16.0	4.0	28.0		8.0	2.0	10.0	6.0	34.0	9.0	49.0	31.0	20.0	2.0	3.0	6.0	32.0	53.0	44.0	20.0	4.0	3.0
K01159	1248.0	1554.0	515.0	769.0	1469.0	794.0	1614.0	827.0	986.0	1246.0	1125.0	583.0	887.0	502.0	736.0	1230.0	752.0	1044.0	1104.0	711.0	497.0	483.0	795.0	1103.0	1101.0
K01173	1.0		9.0	2.0	1.0	10.0			2.0	2.0		9.0		17.0	7.0	1.0				6.0	15.0	17.0	5.0	2.0	1.0
K01174	5.0	1.0	18.0	18.0	1.0	9.0		1.0		4.0	1.0	14.0	2.0	16.0	10.0		3.0	1.0		8.0	15.0	16.0	6.0		1.0
K01185	89.0	20.0	380.0	150.0	27.0	263.0	10.0	12.0	3.0	70.0	24.0	404.0	102.0	433.0	232.0	7.0	18.0	19.0	29.0	296.0	518.0	477.0	241.0	45.0	42.0
K01239	31.0	23.0	11.0	53.0	26.0	8.0		2.0	48.0	30.0	73.0	16.0	67.0	27.0	5.0	48.0	31.0	50.0	72.0	24.0	8.0	14.0	30.0	6.0	69.0
K01243	1.0	1.0		1.0	3.0			1.0	1.0	2.0	1.0		1.0		1.0		2.0		1.0				1.0	2.0	2.0
K01246	246.0	163.0	308.0	769.0	270.0	270.0	9.0	1004.0	914.0	284.0	797.0	221.0	820.0	106.0	436.0	399.0	974.0	749.0	733.0	324.0	24.0	109.0	466.0	531.0	815.0
K01251	64.0	185.0	151.0	215.0	26.0	332.0	7.0	221.0	152.0	66.0	716.0	110.0	464.0	148.0	177.0	1829.0	55.0	243.0	951.0	494.0	326.0	230.0	211.0	223.0	473.0
K01259	65.0	75.0	7.0	34.0	96.0	10.0	106.0	49.0	30.0	57.0	12.0	17.0	9.0		28.0	9.0	50.0	36.0	7.0	9.0	1.0	5.0	22.0	70.0	13.0
K01265	9.0	4.0	9.0	9.0	1.0	4.0		4.0	7.0	8.0	13.0	10.0	11.0	12.0	3.0	3.0	6.0	4.0	7.0	6.0	8.0	12.0	3.0	3.0	8.0
K01273	18.0	20.0	17.0	63.0	16.0	26.0		61.0	62.0	29.0	81.0	13.0	74.0	21.0	24.0	38.0	70.0	73.0	80.0	33.0	7.0	14.0	49.0	43.0	51.0
K01283	49.0	33.0	56.0	106.0	52.0	28.0		156.0	149.0	53.0	146.0	26.0	122.0	18.0	49.0	60.0	148.0	113.0	110.0	56.0	4.0	19.0	67.0	78.0	145.0
K01297	10.0	7.0	52.0	31.0	3.0	49.0	1.0	7.0	7.0	11.0	29.0	55.0	22.0	62.0	35.0	65.0	4.0	16.0	44.0	59.0	76.0	61.0	38.0	9.0	19.0
K01358	1727.0	2042.0	1752.0	1580.0	1712.0	2209.0	1987.0	1326.0	1328.0	1827.0	2775.0	1741.0	1980.0	1836.0	1697.0	5286.0	1017.0	1646.0	3222.0	2420.0	2367.0	2155.0	1777.0	1692.0	2091.0
K01406	7.0	1.0	25.0	13.0	3.0	24.0	1.0	1.0		3.0	3.0	32.0	8.0	51.0	21.0		1.0	1.0	5.0	27.0	44.0	34.0	11.0	2.0	3.0
K01409	245.0	261.0	107.0	146.0	272.0	132.0	288.0	143.0	180.0	224.0	191.0	99.0	178.0	82.0	134.0	233.0	158.0	184.0	199.0	161.0	91.0	102.0	153.0	204.0	170.0
K01419	352.0	427.0	74.0	169.0	425.0	124.0	511.0	215.0	231.0	354.0	187.0	86.0	189.0	47.0	145.0	111.0	240.0	286.0	194.0	80.0	6.0	31.0	142.0	284.0	235.0
K01425	11.0	9.0	5.0	31.0	8.0	7.0		34.0	31.0	11.0	26.0	9.0	17.0	7.0	16.0	9.0	35.0	31.0	16.0	8.0	1.0	9.0	10.0	24.0	28.0
K01447	56.0	60.0	6.0	44.0	66.0	18.0	57.0	12.0	44.0	53.0	70.0	11.0	50.0	10.0	14.0	28.0	31.0	52.0	48.0	9.0	1.0	3.0	28.0	41.0	60.0
K01448	1411.0	1606.0	722.0	816.0	1471.0	981.0	1718.0	837.0	1055.0	1384.0	1207.0	812.0	1023.0	735.0	824.0	1836.0	816.0	1163.0	1379.0	950.0	865.0	794.0	914.0	1154.0	1191.0
K01458	3.0	3.0	15.0	40.0	2.0	19.0		137.0	48.0	5.0	1.0	11.0	22.0	1.0	55.0	1.0	94.0	47.0	6.0	11.0	2.0	10.0	25.0	75.0	
K01462	1033.0	1198.0	645.0	874.0	1149.0	769.0	1259.0	1024.0	935.0	1076.0	903.0	671.0	833.0	543.0	811.0	1154.0	922.0	949.0	964.0	777.0	563.0	576.0	810.0	1116.0	883.0
K01470	96.0	124.0	53.0	52.0	133.0	100.0	134.0	32.0	37.0	99.0	116.0	72.0	64.0	83.0	71.0	213.0	7.0	69.0	147.0	96.0	127.0	98.0	65.0	67.0	88.0
K01483	5.0	7.0	59.0	89.0	16.0	31.0	2.0	275.0	82.0	7.0	13.0	48.0	41.0	1.0	121.0		225.0	104.0	13.0	48.0	5.0	33.0	62.0	153.0	3.0
K01489	185.0	100.0	140.0	374.0	139.0	128.0	3.0	503.0	518.0	188.0	457.0	115.0	469.0	92.0	218.0	212.0	450.0	441.0	392.0	186.0	8.0	97.0	221.0	262.0	480.0
K01494	75.0	99.0	15.0	35.0	79.0	32.0	111.0	54.0	47.0	69.0	67.0	12.0	24.0	6.0	26.0	35.0	53.0	53.0	45.0	21.0	4.0	3.0	29.0	63.0	53.0
K01495	240.0	94.0	992.0	903.0	162.0	801.0	22.0	1573.0	632.0	219.0	332.0	991.0	543.0	917.0	1078.0	381.0	1314.0	648.0	388.0	890.0	972.0	1045.0	868.0	870.0	268.0
K01507	1421.0	1728.0	635.0	755.0	1525.0	1038.0	1733.0	341.0	947.0	1423.0	1717.0	596.0	1156.0	644.0	570.0	2771.0	380.0	1119.0	1960.0	978.0	866.0	730.0	860.0	997.0	1510.0
K01512	2.0		2.0	5.0		1.0		13.0	4.0	1.0		1.0	3.0		4.0		7.0	6.0			1.0		2.0	5.0	1.0
K01520	246.0	282.0	169.0	86.0	274.0	177.0	368.0	11.0	50.0	260.0	23.0	182.0	40.0	199.0	132.0	17.0	17.0	77.0	24.0	155.0	206.0	202.0	143.0	156.0	65.0
K01525	7.0	9.0	5.0	9.0	8.0	5.0	7.0	8.0	15.0	10.0	2.0	2.0			7.0	1.0	11.0	5.0	3.0	2.0		2.0	5.0	24.0	5.0
K01551	12.0	1.0	24.0	8.0	1.0	21.0	1.0		1.0	7.0	2.0	26.0	8.0	29.0	19.0		2.0		2.0	32.0	35.0	30.0	21.0	2.0	3.0
K01573	19.0	7.0	8.0	21.0	12.0	12.0		17.0	26.0	7.0	33.0	3.0	44.0	4.0	7.0	26.0	22.0	36.0	26.0	12.0		6.0	16.0	9.0	44.0
K01579	757.0	856.0	208.0	118.0	902.0	345.0	1204.0	23.0	175.0	771.0	111.0	323.0	48.0	247.0	286.0	39.0	30.0	265.0	59.0	187.0	270.0	269.0	283.0	393.0	169.0
K01588	133.0	143.0	45.0	67.0	158.0	83.0	154.0	75.0	99.0	118.0	130.0	68.0	70.0	49.0	80.0	135.0	90.0	101.0	113.0	66.0	58.0	54.0	80.0	118.0	104.0
K01595	2486.0	3022.0	1066.0	1331.0	2821.0	1655.0	3263.0	467.0	1657.0	2566.0	2464.0	1155.0	1844.0	1141.0	1107.0	3366.0	603.0	1782.0	2582.0	1543.0	1229.0	1186.0	1489.0	1600.0	2439.0
K01599	3.0						3.0			1.0					1.0			1.0						2.0	
K01602	1160.0	1461.0	220.0	123.0	1373.0	556.0	1820.0	90.0	310.0	1108.0	334.0	356.0	125.0	264.0	352.0	482.0	36.0	445.0	339.0	321.0	311.0	277.0	431.0	643.0	345.0
K01607	78.0	17.0	352.0	414.0	54.0	230.0	8.0	1138.0	356.0	70.0	27.0	288.0	214.0	129.0	522.0	7.0	908.0	358.0	70.0	242.0	160.0	215.0	269.0	600.0	3.0
K01610	16.0	12.0	28.0	59.0	29.0	19.0	2.0	94.0	83.0	22.0	60.0	19.0	66.0	12.0	40.0	33.0	100.0	64.0	57.0	35.0	2.0	8.0	42.0	52.0	57.0
K01611	438.0	546.0	195.0	141.0	466.0	318.0	696.0	175.0	177.0	412.0	235.0	213.0	154.0	160.0	215.0	617.0	85.0	257.0	331.0	246.0	238.0	233.0	282.0	315.0	216.0
K01613	364.0	427.0	79.0	245.0	446.0	160.0	497.0	250.0	314.0	389.0	326.0	74.0	285.0	48.0	159.0	170.0	284.0	344.0	283.0	87.0	4.0	32.0	188.0	286.0	334.0
K01619	57.0	14.0	231.0	224.0	32.0	202.0	5.0	405.0	145.0	59.0	48.0	284.0	132.0	231.0	335.0	54.0	293.0	134.0	64.0	247.0	256.0	273.0	178.0	224.0	29.0
K01623	49.0	68.0	183.0	135.0	16.0	237.0	2.0	72.0	47.0	49.0	259.0	205.0	162.0	223.0	155.0	648.0	25.0	85.0	361.0	249.0	311.0	252.0	150.0	74.0	186.0
K01624	19.0	20.0	15.0	11.0	21.0	13.0	28.0	21.0	12.0	13.0	12.0	10.0	8.0	2.0	17.0	27.0	7.0	15.0	17.0	12.0	8.0	13.0	18.0	11.0	6.0
